eventId,key,value,trans
200100301,cardName,【ナチュラルモード】櫻木真乃,【自然模式】樱木真乃
200100301,eventTitle,ショッピング日和,购物好天气
200100302,cardName,【ナチュラルモード】櫻木真乃,【自然模式】樱木真乃
200100302,eventTitle,自然とはずむ心,与自然共鸣的心
200100311,cardName,【ナチュラルモード】櫻木真乃,【自然模式】樱木真乃
200100311,eventTitle,感謝を形に,将感谢化作形状
200100401,cardName,【ほわっとスマイル】櫻木真乃,【柔和微笑】樱木真乃
200100401,eventTitle,ほわほわアイドル,蓬松偶像
200100402,cardName,【ほわっとスマイル】櫻木真乃,【柔和微笑】樱木真乃
200100402,eventTitle,真乃ならできる,真乃的话一定可以
200100403,cardName,【ほわっとスマイル】櫻木真乃,【柔和微笑】樱木真乃
200100403,eventTitle,成長の証,成长的证明
200100404,cardName,【ほわっとスマイル】櫻木真乃,【柔和微笑】樱木真乃
200100404,eventTitle,いつかの気持ち,曾经的心情
200100411,cardName,【ほわっとスマイル】櫻木真乃,【柔和微笑】樱木真乃
200100411,eventTitle,ずっと続く夢の先へ,向着持续到永远的梦之彼端
200100501,cardName,【ぐうぜんBOOKS】櫻木真乃,【偶然BOOKS】樱木真乃
200100501,eventTitle,想いが重なる瞬間,心意重叠的瞬间
200100502,cardName,【ぐうぜんBOOKS】櫻木真乃,【偶然BOOKS】樱木真乃
200100502,eventTitle,お腹が……,肚子饿了……
200100511,cardName,【ぐうぜんBOOKS】櫻木真乃,【偶然BOOKS】樱木真乃
200100511,eventTitle,癒して、癒されて,治愈与被治愈
200100601,cardName,【しじまに華ひととき】櫻木真乃,【寂静中一时花开】樱木真乃
200100601,eventTitle,しばしお別れ、しかしすぐに,暂别、但很快
200100602,cardName,【しじまに華ひととき】櫻木真乃,【寂静中一时花开】樱木真乃
200100602,eventTitle,迎春の巡り逢い,迎春的邂逅
200100611,cardName,【しじまに華ひととき】櫻木真乃,【寂静中一时花开】樱木真乃
200100611,eventTitle,あのときの願い,那时的愿望
200100701,cardName,【ハ♡トフェルトゥギフト】櫻木真乃,【心♡形毡毛礼物】樱木真乃
200100701,eventTitle,ぽかぽか陽気に誘われて,被暖洋洋的天气所邀请
200100702,cardName,【ハ♡トフェルトゥギフト】櫻木真乃,【心♡形毡毛礼物】樱木真乃
200100702,eventTitle,旅のお供に,作为旅伴
200100703,cardName,【ハ♡トフェルトゥギフト】櫻木真乃,【心♡形毡毛礼物】樱木真乃
200100703,eventTitle,春の足音,春天的脚步声
200100704,cardName,【ハ♡トフェルトゥギフト】櫻木真乃,【心♡形毡毛礼物】樱木真乃
200100704,eventTitle,あなたへ贈り物,送给你的礼物
200100711,cardName,【ハ♡トフェルトゥギフト】櫻木真乃,【心♡形毡毛礼物】樱木真乃
200100711,eventTitle,ゆるりと流れる時間の中で,在缓缓流淌的时间中
200100801,cardName,【はじけてスマイル】櫻木真乃,【绽放微笑】樱木真乃
200100801,eventTitle,緑色が運ぶ、夏の,绿色带来的、夏日
200100802,cardName,【はじけてスマイル】櫻木真乃,【绽放微笑】樱木真乃
200100802,eventTitle,狙う、その間の,瞄准、那间隙
200100803,cardName,【はじけてスマイル】櫻木真乃,【绽放微笑】樱木真乃
200100803,eventTitle,交す、ことばの,交换、言语
200100804,cardName,【はじけてスマイル】櫻木真乃,【绽放微笑】樱木真乃
200100804,eventTitle,涼やかな、夏の,凉爽的、夏日
200100811,cardName,【はじけてスマイル】櫻木真乃,【绽放微笑】樱木真乃
200100811,eventTitle,気遣い、一粒,关怀、一粒
200100901,cardName,【深染め、いろみぐさ】櫻木真乃,【深染、彩见草】樱木真乃
200100901,eventTitle,秋香る,秋香
200100902,cardName,【深染め、いろみぐさ】櫻木真乃,【深染、彩见草】樱木真乃
200100902,eventTitle,響くやわらか,回响的柔软
200100903,cardName,【深染め、いろみぐさ】櫻木真乃,【深染、彩见草】樱木真乃
200100903,eventTitle,空の下,天空之下
200100904,cardName,【深染め、いろみぐさ】櫻木真乃,【深染、彩见草】樱木真乃
200100904,eventTitle,染まる景色に,染色的景色中
200100911,cardName,【深染め、いろみぐさ】櫻木真乃,【深染、彩见草】樱木真乃
200100911,eventTitle,薫る秋,芬芳之秋
200101001,cardName,【花結びゆくゆく】櫻木真乃,【花结未来】樱木真乃
200101001,eventTitle,まだ、かたく,尚且、坚硬
200101002,cardName,【花結びゆくゆく】櫻木真乃,【花结未来】樱木真乃
200101002,eventTitle,春へ、浮かされて,向着春天、漂浮而去
200101011,cardName,【花結びゆくゆく】櫻木真乃,【花结未来】樱木真乃
