key,value,note
voice,produce_events/202100711/2021007110190,（圆香）发不出悦耳的声音
voice,produce_events/202100711/2021007110200,（圆香）不对、不对、不对……
voice,produce_events/202100711/2021007110210,（圆香）不是这个声音
voice,produce_events/202100711/2021007110220,（圆香）还要更加精巧、更加复杂、更加纤细
voice,produce_events/202100711/2021007110230,（圆香）必须得是通透的声音
voice,produce_events/202100711/2021007110240,（圆香）要更加
voice,produce_events/202100711/2021007110250,（圆香）如同在切削自己的灵魂一般
voice,produce_events/202100711/2021007110260,（圆香）美丽
still,20210071101,那时，有声音响起
still,20210071102,生锈的声音
still,20210071103,是八音盒
still,20210071104,或许是被放坏了\r\n八音盒的声音并不在调上
still,20210071105,那是
still,20210071106,专门用来装重要东西的盒子
still,00000000001,
still,00000000002,
still,10210040301,
still,10210040302,
still,10210040303,
still,10210040304,
still,10210040305,
still,20010060201,
still,20140091101,
still,20210070101,
still,20210070201,
still,20210070202,
still,20210070203,
still,20210070204,
still,20210070205,
still,20210070206,
still,20210070207,
still,20210070208,
still,20210070209,
still,20210070210,
still,20210070211,
still,20210070212,
still,20210070213,
still,20210070214,
still,20210070301,
still,20400200201,
still,30020060201,
still,30050120301,
still,30100070301,
still,30150150301,
still,40010120101,
still,40010120102,
still,40010120103,
still,40010120104,
still,40010120105,
still,40010120106,
still,40010120107,
still,40010120108,
still,40010120109,
still,40010120110,
still,40010120111,
still,40010120112,
still,40010120113,
still,40010120114,
still,40010120115,
still,40010120116,
still,40010120117,
still,40010120201,
still,40010120202,
still,40010120203,
still,40010120204,
still,40010120205,
still,40010120206,
still,40010120207,
still,40010120208,
still,40010120209,
still,40010120210,
still,40010120211,
still,40010120212,
still,40010120213,
still,40010120214,
still,40010120215,
still,40010120301,
still,40010120302,
still,40010120303,
still,40010120304,
still,40010120305,
still,40010120306,
still,40010120307,
still,40010120308,
still,40010120309,
still,40010120401,
still,40010120402,
still,40010120403,
still,40010120404,
still,40010120405,
still,40010120406,
still,40010120407,
still,40010120408,
still,40010120409,
still,40010120410,
still,40010120411,
still,40010120412,
still,40010120601,
still,40010120602,
still,40010120603,
still,40010120604,
still,40010120605,
still,40010120801,
still,40010120802,
still,40010130101,
still,40010470601,
still,40010530201,
still,40010530202,
still,40010530203,
still,40010530204,
still,40010530301,
still,40010530302,
still,40010530303,
still,40010530304,
still,40010530305,
still,40010530306,
still,40010530401,
still,40010530402,
still,40010530403,
still,40010530404,
still,40010530405,
still,40010530406,
still,40010530501,
still,40010530502,
still,40010530503,
still,40010530504,
still,40010530601,
still,40010530602,
still,40010530603,
still,40010530604,
still,40010530701,
still,40010530702,
still,40010530703,
still,40010530704,
still,40010530705,
still,40010670701,
still,40010740401,
still,49010020101,
still,49010020201,
still,49010020301,
still,49010020401,
still,49010020402,
still,49010020501,
still,49010020502,
still,49010020601,
still,49010020602,
still,49010020701,
still,49010020702,
speaker,A,A
speaker,AB船員,AB船员
speaker,AD,导演助理
speaker,AD2,导演助理2
speaker,ADふうの女性,导演助理风格的女性
speaker,Aの友人,A的朋友
speaker,Aチーム,A队
speaker,Aチームのダリア役,A队的达莉亚扮演者
speaker,Aチームのヒマワリ役,A队的向日葵扮演者
speaker,Aチームメンバーたち,A队成员们
speaker,Bチーム,B团队
speaker,CA,空姐
speaker,CDショップスタッフ,CD店工作人员
speaker,CM,广告
speaker,DJ,DJ
speaker,Hanako,Hanako
speaker,HanakoのSNS,Hanako的社交账号
speaker,MC,司仪
speaker,MC芸人１,司仪艺人1
speaker,MC芸人２,司仪艺人2
speaker,MEMちょ,MEM啾
speaker,MEMちょ＆智代子,MEM啾＆智代子
speaker,MODERNISM一同,MODERNISM全体人员
speaker,MODERNISM１,MODERNISM1
speaker,MODERNISM２,MODERNISM2
speaker,MODERNISM３,MODERNISM3
speaker,POP,海报
speaker,SNS,社交网络
speaker,SNSのコメント,SNS评论
speaker,SNSのコメント１,SNS的评论1
speaker,SNSのコメント２,SNS的评论2
speaker,SNSのコメント３,SNS的评论3
speaker,SNSの反応１,SNS的反应1
speaker,SNSの反応２,SNS的反应2
speaker,SNSの反応３,SNS的反应3
speaker,SNSの反応４,SNS的反应4
speaker,SNSの声,SNS的声音
speaker,SNSの投稿,SNS的投稿
speaker,SNSの投稿１,SNS的投稿1
speaker,SNSの投稿２,SNS的投稿2
speaker,SNSの投稿３,SNS的投稿3
speaker,SNSの投稿４,SNS的投稿4
speaker,SNSの投稿５,SNS的投稿5
speaker,SNSの投稿６,SNS的投稿6
speaker,SNSの投稿７,SNS的投稿7
speaker,SNSの書き込み,SNS的留言
speaker,SNSの書き込み１,SNS的留言1
speaker,SNSの書き込み２,SNS的留言2
speaker,SNSの書き込み３,SNS的留言3
speaker,SNSの書き込み４,SNS的留言4
speaker,SNSの書き込み５,SNS的留言5
speaker,SNSへの投稿,向SNS的投稿
speaker,SNSへの投稿10,向SNS的投稿10
speaker,SNSへの投稿11,向SNS的投稿11
speaker,SNSへの投稿12,向SNS的投稿12
speaker,SNS投稿へのリプライ,对SNS投稿的回复
speaker,SNS投稿者,SNS投稿者
speaker,STEALTH担当,STEALTH负责人
speaker,TVの音声,电视的声音
speaker,TVナレーション,电视旁白
speaker,TVプロデューサー,电视制作人
speaker,TV局のディレクター,电视台的导演
speaker,TV局職員,电视台职员
speaker,TV番組の司会者,电视节目主持人
speaker,VTR（智代子）,VTR（智代子）
speaker,VTR（一同）,VTR（众人）
speaker,VTR（ナレーション）,VTR（旁白）
speaker,VTR（夏葉）,VTR（夏叶）
speaker,VTR（凛世）,VTR（凛世）
speaker,VTR（樹里）,VTR（树里）
speaker,VTR（果穂）,VTR（果穗）
speaker,VTRのナレーション,录像带的旁白
speaker,WEBページ,网页
speaker,XXX,XXX
speaker,off,off
speaker,unknown,unknown
speaker,──,──
speaker,『かなえ』のおみくじ,《香奈惠》的签
speaker,『Ａ』,《A》
speaker,【公式】,【官方】
speaker,あかね,茜
speaker,あかね＆凛世,茜＆凛世
speaker,あかね＆智代子,茜＆智代子
speaker,あかね＆智代子＆凛世,茜＆智代子＆凛世
speaker,あさひ,朝日
speaker,あさひのメッセージ,朝日的消息
speaker,あさひの同級生,朝日的同学
speaker,あさひ＆そば屋の大将,朝日＆荞麦面馆老板
speaker,あさひ＆プロデューサー,朝日＆制作人
speaker,あさひ＆主人公,朝日＆主人公
speaker,あさひ＆冬優子,朝日＆冬优子
speaker,あさひ＆冬優子＆愛依,朝日＆冬优子＆爱依
speaker,あさひ＆助手,朝日＆助手
speaker,あさひ＆子ども,朝日＆孩子
speaker,あさひ＆弟＆妹,朝日＆弟弟＆妹妹
speaker,あさひ＆愛依,朝日＆爱依
speaker,あすみ,明日美
speaker,あるアカウント,某个账号
speaker,ある現場の録音技師,某个现场的录音技师
speaker,おしゃべりをする生徒,聊天的学生
speaker,おじいさん,爷爷
speaker,おじさん,叔叔
speaker,おすすめの投稿,推荐的投稿
speaker,おって,追捕者
speaker,おばあさん,奶奶
speaker,おばちゃん,阿姨
speaker,おみくじ,签文
speaker,おもち,年糕
speaker,お兄ちゃん,哥哥
speaker,お化け１,妖怪1
speaker,お化け２,妖怪2
speaker,お化け３,妖怪3
speaker,お化け４,妖怪4
speaker,お天気キャスター,天气预报员
speaker,お客さん,客人
speaker,お師匠様,师傅
speaker,お母さん,妈妈
speaker,お笑い,喜剧演员
speaker,お笑い芸人,搞笑艺人
speaker,お笑い１,喜剧演员1
speaker,お笑い１＆お笑い２,喜剧演员1＆喜剧演员2
speaker,お笑い２,喜剧演员2
speaker,かくれんぼゲーム担当,捉迷藏游戏负责人
speaker,かな,加奈
speaker,かなからのメッセージ,从加奈来的消息
